886	0.9911
887	0.9911
888	0.9911
889	0.9911
890	0.9911
891	0.9911
892	0.9911
893	0.9911
894	0.9910
895	0.9911
896	0.9911
897	0.9911
898	0.9911
899	0.9911
900	0.9912
901	0.9912
902	0.9911
903	0.9911
904	0.9911
905	0.9911
906	0.9911
907	0.9911
908	0.9911
909	0.9911
910	0.9911
911	0.9912
912	0.9912
913	0.9911
914	0.9912
915	0.9912
916	0.9912
917	0.9912
918	0.9912
919	0.9911
920	0.9911
921	0.9911
922	0.9912
923	0.9912
924	0.9912
925	0.9912
926	0.9912
927	0.9912
928	0.9912
929	0.9912
930	0.9912
931	0.9912
932	0.9912
933	0.9912
934	0.9912
935	0.9912
936	0.9912
937	0.9912
938	0.9912
939	0.9912
940	0.9912
941	0.9912
942	0.9912
943	0.9912
944	0.9912
945	0.9912
946	0.9912
947	0.9911
948	0.9912
949	0.9912
950	0.9912
951	0.9912
952	0.9912
953	0.9912
954	0.9912
955	0.9912
956	0.9912
957	0.9912
958	0.9912
959	0.9912
960	0.9912
961	0.9912
962	0.9912
963	0.9912
964	0.9912
965	0.9912
966	0.9912
967	0.9912
968	0.9912
969	0.9912
970	0.9912
971	0.9912
972	0.9912
973	0.9912
974	0.9912
975	0.9912
976	0.9912
977	0.9912
978	0.9912
979	0.9912
980	0.9912
981	0.9912
982	0.9912
983	0.9912
984	0.9912
985	0.9912
986	0.9912
987	0.9912
988	0.9912
989	0.9912
990	0.9912
991	0.9912
992	0.9912
993	0.9912
994	0.9912
995	0.9912
996	0.9912
997	0.9912
998	0.9912
999	0.9912
1000	0.9912
1001	0.9912
1002	0.9912
1003	0.9912
1004	0.9912
1005	0.9912
1006	0.9912
1007	0.9912
1008	0.9912
1009	0.9912
1010	0.9912
1011	0.9912
1012	0.9912
1013	0.9912
1014	0.9912
1015	0.9912
1016	0.9912
1017	0.9912
1018	0.9912
1019	0.9912
1020	0.9912
1021	0.9912
1022	0.9912
1023	0.9912
1024	0.9912
1025	0.9912
1026	0.9912
1027	0.9912
1028	0.9912
1029	0.9912
1030	0.9912
1031	0.9912
1032	0.9912
1033	0.9912
1034	0.9912
1035	0.9912
1036	0.9912
1037	0.9912
1038	0.9912
1039	0.9911
1040	0.9912
1041	0.9912
1042	0.9912
1043	0.9912
1044	0.9912
1045	0.9912
1046	0.9912
1047	0.9912
1048	0.9912
1049	0.9912
1050	0.9912
1051	0.9912
1052	0.9912
1053	0.9912
1054	0.9912
1055	0.9912
1056	0.9912
1057	0.9912
1058	0.9912
1059	0.9911
1060	0.9912
1061	0.9911
1062	0.9912
1063	0.9912
1064	0.9911
1065	0.9912
1066	0.9912
1067	0.9912
1068	0.9912
1069	0.9912
1070	0.9912
1071	0.9912
1072	0.9912
1073	0.9912
1074	0.9912
1075	0.9912
1076	0.9912
1077	0.9912
1078	0.9912
1079	0.9912
1080	0.9912
1081	0.9912
1082	0.9913
1083	0.9911
1084	0.9912
1085	0.9912
1086	0.9912
1087	0.9911
1088	0.9911
1089	0.9912
1090	0.9912
1091	0.9912
1092	0.9912
1093	0.9912
1094	0.9912
1095	0.9912
1096	0.9911
1097	0.9912
1098	0.9912
1099	0.9912
1100	0.9912
1101	0.9912
1102	0.9911
1103	0.9912
1104	0.9912
1105	0.9912
1106	0.9912
1107	0.9912
1108	0.9912
1109	0.9912
1110	0.9912
1111	0.9912
1112	0.9912
1113	0.9912
1114	0.9912
1115	0.9912
1116	0.9911
1117	0.9912
1118	0.9912
1119	0.9912
1120	0.9911
1121	0.9912
1122	0.9911
1123	0.9912
1124	0.9912
1125	0.9912
1126	0.9911
1127	0.9912
1128	0.9912
1129	0.9912
1130	0.9911
1131	0.9912
1132	0.9911
1133	0.9911
1134	0.9911
1135	0.9912
1136	0.9911
1137	0.9912
1138	0.9912
1139	0.9911
